SMILES Labelled
"CO/[C:10](C1=CC=CC=C1)=[C:11]1\[N:12](C)[C:64](C)=[C:63](C)[S:62]1.[C+:20]([C:31]1=[CH:32][CH:33]=[CH:34][CH:35]=[CH:36]1)([C:41]1=[CH:42][CH:43]=[CH:44][CH:45]=[CH:46]1)[C:51]1=[CH:52][CH:53]=[CH:54][CH:55]=[CH:56]1>>CO[C:10](C1=CC=CC=C1)([C:11]1=[N+:12](C)[C:64](C)=[C:63](C)[S:62]1)[C:20]([C:31]1=[CH:32][CH:33]=[CH:34][CH:35]=[CH:36]1)([C:41]1=[CH:42][CH:43]=[CH:44][CH:45]=[CH:46]1)[C:51]1=[CH:52][CH:53]=[CH:54][CH:55]=[CH:56]1 10,11=10,20;12=11,12"
"CC[O:62]/[C:11](=[CH:10]/[N:71]=[C:72](C1=CC=CC=C1)[C:73]1=[CH:74][CH:75]=[CH:76][CH:85]=[CH:84]1)[O-:12].O=[N+]([O-])[C:34]1=[CH:33][CH:32]=[C:31](/[CH:20]=[CH:21]/[C:22](C2=CC=CC=C2)=[O:23])[CH:36]=[CH:35]1>>CC[O:62][C:11]([CH:10]([CH:20]([CH:21]=[C:22](C1=CC=CC=C1)[O-:23])[C:31]1=[CH:32][CH:33]=[C:34]([N+](=O)[O-])[CH:35]=[CH:36]1)[N:71]=[C:72](C1=CC=CC=C1)[C:73]1=[CH:74][CH:75]=[CH:76][CH:85]=[CH:84]1)=[O:12] 10,11=10,20;12=11,12;20,21=21,22;22,23=23"
"C[CH+:20][C:31]12C3C4C5C1[Fe:32]45321678C2C1C6C7C28.C[O:14][C:13]1=[CH:12][CH:11]=[CH:10][CH:62]=[CH:61]1>>C[O+:14]=[C:13]1[CH:12]=[CH:11][CH:10]([CH:20](C)[C:31]23C4C5C6C2[Fe:32]56432789C3C2C7C8C39)[CH:62]=[CH:61]1 10,11=10,20;12,13=11,12;14=13,14"
"CC(C)[Si:63](C(C)C)(C(C)C)[O:12][CH:11]=[CH2:10].C[N+:21](C1=CC=CC=C1)=[CH2:20]>>CC(C)[Si:63](C(C)C)(C(C)C)[O+:12]=[CH:11][CH2:10][CH2:20][N:21](C)C1=CC=CC=C1 10,11=10,20;12=11,12;20,21=21"
"C1=CC2=C(C=C1)[S:71](=[O:72])(=[O:92])[CH-:10][S:61]2(=[O:62])=[O:82].CC(C)(C)[C:23]1=[CH:22][C:21](=[CH:20][C:41]2=[CH:42][CH:43]=[C:44]([N+](=O)[O-])[CH:45]=[CH:46]2)[CH:32]=[C:33](C(C)(C)C)[C:24]1=[O:25]>>CC(C)(C)[C:23]1=[C:24]([O-:25])[C:33](C(C)(C)C)=[CH:32][C:21]([CH:20]([CH:10]2[S:61](=[O:62])(=[O:82])C3=C(C=CC=C3)[S:71]2(=[O:72])=[O:92])[C:41]2=[CH:42][CH:43]=[C:44]([N+](=O)[O-])[CH:45]=[CH:46]2)=[CH:22]1 10=20;20,21=21,22;22,23=23,24;24,25=25"
"CC1=CC(C)=C([N+]2=C([C:22](/[CH:21]=[CH:20]/[C:31]3=[CH:32][CH:33]=[CH:34][CH:35]=[CH:36]3)=[O:23])N(C)C=C2)C(C)=C1.C[N:62]1[CH:61]=[N:10][C:64]2=[C:63]1C=CC=C2>>CC1=CC(C)=C([N+]2=C([C:22](=[CH:21][CH:20]([N+:10]3=[CH:61][N:62](C)[C:63]4=[C:64]3C=CC=C4)[C:31]3=[CH:32][CH:33]=[CH:34][CH:35]=[CH:36]3)[O-:23])N(C)C=C2)C(C)=C1 10=20;20,21=21,22;22,23=23"
"C[Si:63](C)(C)[CH2:62][CH:11]=[CH2:10].F[C:33]1=[CH:34][C:35](F)=[CH:36][C:31]([CH+:20][C:41]2=[CH:42][CH:43]=[CH:44][C:45](F)=[CH:46]2)=[CH:32]1>>C[Si:63](C)(C)[CH2:62][CH+:11][CH2:10][CH:20]([C:31]1=[CH:32][C:33](F)=[CH:34][C:35](F)=[CH:36]1)[C:41]1=[CH:42][CH:43]=[CH:44][C:45](F)=[CH:46]1 10,11=10,20"
"CC[O:92][C:61]([C-:10](C)/[N:71]=[CH:72]/[C:73]1=[CH:74][CH:75]=[CH:76][CH:85]=[CH:84]1)=[O:62].CO[C:44]1=[CH:43][CH:42]=[C:41]([CH:20]=[C:21]2[C:22](=[O:23])[O:39]C(C)(C)[O:33][C:31]2=[O:32])[CH:46]=[CH:45]1>>CC[O:92][C:61]([C:10](C)([CH:20]([C:21]1=[C:22]([O-:23])[O:39]C(C)(C)[O:33][C:31]1=[O:32])[C:41]1=[CH:42][CH:43]=[C:44](OC)[CH:45]=[CH:46]1)/[N:71]=[CH:72]/[C:73]1=[CH:74][CH:75]=[CH:76][CH:85]=[CH:84]1)=[O:62] 10=20;20,21=21,22;22,23=23"
"CC[N:72](CC)[C:61]([CH-:10][C:81](C)=[O:82])=[O:62].CO[C:34]1=[CH:33][CH:32]=[C:31]([CH:20]=[O+:21]C)[CH:35]=[CH:36]1>>CC[N:72](CC)[C:61]([CH:10]([CH:20]([O:21]C)[C:31]1=[CH:32][CH:33]=[C:34](OC)[CH:36]=[CH:35]1)[C:81](C)=[O:82])=[O:62] 10=20;20,21=21"
"CN(C)[C:44]1=[CH:43][CH:42]=[C:41]([CH:20]=[C:21]2[C:22](=[O:23])[N:51](C)C(=S)[N:52](C)[C:32]2=[O:33])[CH:46]=[CH:45]1.[H][C:11]1([H:10])[CH:12]=[CH:13][N:14](CC2=CC=CC=C2)[CH:63]=[C:62]1C(N)=O>>CN(C)[C:44]1=[CH:43][CH:42]=[C:41]([CH:20]([H:10])[C:21]2=[C:22]([O-:23])[N:51](C)C(=S)[N:52](C)[C:32]2=[O:33])[CH:46]=[CH:45]1.[H][C:11]1=[CH:12][CH:13]=[N+:14](CC2=CC=CC=C2)[CH:63]=[C:62]1C(N)=O 10,11=10,20;12,13=11,12;14=13,14;20,21=21,22;22,23=23"
"CO[C:24](/[N:23]=[N:22]/[C:21](C)=[CH:20]/[C:31](=[O:32])[N:33](C)C)=[O:25].C[C:10](=[C:11]=[N-:12])[C:71]1=[CH:72][CH:73]=[C:74]([C:75]#[N:76])[CH:85]=[CH:84]1>>CO[C:24](=[N:23][N:22]=[C:21](C)[CH:20]([C:10](C)([C:11]#[N:12])[C:71]1=[CH:72][CH:73]=[C:74]([C:75]#[N:76])[CH:85]=[CH:84]1)[C:31](=[O:32])[N:33](C)C)[O-:25] 10,11=10,20;12=11,12;20,21=21,22;22,23=23,24;24,25=25"
"C[O:33][C:22]([CH:21]=[CH2:20])=[O:23].[CH:10](=[C:11]=[N-:12])[C:61]1=[CH:62][CH:63]=[C:64]([C:65]#[N:66])[CH:73]=[CH:72]1>>C[O:33][C:22](=[CH:21][CH2:20][CH:10]([C:11]#[N:12])[C:61]1=[CH:62][CH:63]=[C:64]([C:65]#[N:66])[CH:73]=[CH:72]1)[O-:23] 10,11=10,20;12=11,12;20,21=21,22;22,23=23"
"CO[C:23]1=[CH:22][C:21](=[CH:20][C:41]2=[CH:42][CH:43]=[C:44](N(C)C)[CH:45]=[CH:46]2)[CH:32]=[C:33](OC)[C:24]1=[O:25].C[Si:63](C)(C)[O:12][C:11]1=[CH:10]CC[O:72]1>>CO[C:23]1=[C:24]([O-:25])[C:33](OC)=[CH:32][C:21]([CH:20]([CH:10]2CC[O:72][C:11]2=[O+:12][Si:63](C)(C)C)[C:41]2=[CH:42][CH:43]=[C:44](N(C)C)[CH:45]=[CH:46]2)=[CH:22]1 10,11=10,20;12=11,12;20,21=21,22;22,23=23,24;24,25=25"
CC1=CC(C)=C(C(C)C[CH+:20][C:31]2=[C:32](C)[CH:33]=[C:34](C)[CH:35]=[C:36]2C)C(C)=C1.Cl[C:63]1=[CH:62][CH:61]=[N:10][CH:71]=[CH:72]1>>CC1=CC(C)=C(C(C)C[CH:20]([N+:10]2=[CH:61][CH:62]=[C:63](Cl)[CH:72]=[CH:71]2)[C:31]2=[C:32](C)[CH:33]=[C:34](C)[CH:35]=[C:36]2C)C(C)=C1 10=20
"C1=CC=C([S:32]([CH:21]=[CH2:20])(=[O:33])=[O:34])C=C1.CCCC[Sn:63](CCCC)(CCCC)[CH2:62][C:11](C)=[CH2:10]>>CCCC[Sn:63](CCCC)(CCCC)[CH2:62][C+:11](C)[CH2:10][CH2:20][CH-:21][S:32](C1=CC=CC=C1)(=[O:33])=[O:34] 10,11=10,20;20,21=21"
"C1=CC=C([C:42](=[CH:41][CH+:20][C:31]2=[CH:32][CH:33]=[CH:34][CH:35]=[CH:36]2)[C:53]2=[CH:54][CH:55]=[CH:56][CH:57]=[CH:58]2)C=C1.C1C[CH:11]([H:10])[O:12]C1>>C1=CC=C([C:42](=[CH:41][CH:20]([H:10])[C:31]2=[CH:32][CH:33]=[CH:34][CH:35]=[CH:36]2)[C:53]2=[CH:54][CH:55]=[CH:56][CH:57]=[CH:58]2)C=C1.C1C[CH:11]=[O+:12]C1 10,11=10,20;12=11,12"
"CC(C)(C)C[Si:11](C)(C)[H:10].C[C:22]1=[N+:23](C)C2=C(C=CC=C2)/[C:21]1=[CH:20]\[C:31]1=[C:32](C)[N:33](C)[C:42]2=[C:41]1C=CC=C2>>CC(C)(C)C[Si+:11](C)C.C[C:22]1=[C:21]([CH:20]([H:10])[C:31]2=[C:32](C)[N:33](C)[C:42]3=[C:41]2C=CC=C3)C2=C(C=CC=C2)[N:23]1C 10,11=10,20;20,21=21,22;22,23=23"
"CC(C)(C)[O:33][C:22](/[N:21]=[N:20]/[C:41](=[O:42])[O:43]C(C)(C)C)=[O:23].C[S+:61](C)[O-:10]>>CC(C)(C)[O:33][C:22](=[N:21][N:20]([O:10][S+:61](C)C)[C:41](=[O:42])[O:43]C(C)(C)C)[O-:23] 10=20;20,21=21,22;22,23=23"
[C+:20]1([C:31]2=[CH:32][CH:33]=[CH:34][CH:35]=[CH:36]2)[C:41]2=[C:42]([CH:43]=[CH:44][CH:45]=[CH:46]2)[C:52]2=[C:51]1[CH:56]=[CH:55][CH:54]=[CH:53]2.[NH2:10][NH:61][CH:62]=[O:63]>>[NH2+:10]([C:20]1([C:31]2=[CH:32][CH:33]=[CH:34][CH:35]=[CH:36]2)[C:41]2=[C:42]([CH:43]=[CH:44][CH:45]=[CH:46]2)[C:52]2=[C:51]1[CH:56]=[CH:55][CH:54]=[CH:53]2)[NH:61][CH:62]=[O:63] 10=20
"C[N:21]([S:20]C(F)(F)F)[S:32](C1=CC=CC=C1)(=[O:33])=[O:34].[N:10](=[O:61])[O-:71]>>C[N-:21][S:32](C1=CC=CC=C1)(=[O:33])=[O:34].FC(F)(F)[S:20][N+:10](=[O:61])[O-:71] 10=20;20,21=21"
"C1=CC=C([N:31]=[C:20]=[O:21])C=C1.CC[O:61][C:111]([C-:10]([C:72](=[O:73])[O:83]CC)[C:92](=[O:93])[O:103]CC)=[O:112]>>CC[O:61][C:111]([C:10]([C:20]([O-:21])=[N:31]C1=CC=CC=C1)([C:72](=[O:73])[O:83]CC)[C:92](=[O:93])[O:103]CC)=[O:112] 10=20;20,21=21"
"C[C:32]1=[N+:21]([F:20])[C:42](C)=[CH:43][C:34](C)=[CH:33]1.N#C[C:73]1=[CH:72][C:61]2=[C:62]([NH:12][CH:11]=[CH:10]2)[CH:63]=[CH:64]1>>C[C:32]1=[N:21][C:42](C)=[CH:43][C:34](C)=[CH:33]1.N#C[C:73]1=[CH:72][C:61]2=[C:62]([NH+:12]=[CH:11][CH:10]2[F:20])[CH:63]=[CH:64]1 10,11=10,20;12=11,12;20,21=21"
"C[C:10](C)=[C:11]([O:12][Si:73](C)(C)C)[O:62]C.C[C:32]1=[N+:21]([F:20])[C:42](C)=[CH:43][C:34](C)=[CH:33]1>>C[C:10](C)([C:11](=[O+:12][Si:73](C)(C)C)[O:62]C)[F:20].C[C:32]1=[N:21][C:42](C)=[CH:43][C:34](C)=[CH:33]1 10,11=10,20;12=11,12;20,21=21"
"C1=CC=C([C:22]([CH:21]=[CH2:20])=[O:23])C=C1.CC(C)(C)[C:62]1=[C:61]([O-:10])[C:72](C(C)(C)C)=[CH:73][CH:64]=[CH:63]1>>CC(C)(C)[C:62]1=[C:61]([O:10][CH2:20][CH:21]=[C:22](C2=CC=CC=C2)[O-:23])[C:72](C(C)(C)C)=[CH:73][CH:64]=[CH:63]1 10=20;20,21=21,22;22,23=23"
"C1=CC=C([S:61](/[CH:10]=[C:11]2\[CH:12]=[CH:13]/[C:14](=[N+:15](/[O-:16])[O-:86])[CH:63]=[CH:62]2)(=[O:62])=[O:72])C=C1.CC(C)(C)[O:33][C:22]([CH:21]=[CH2:20])=[O:23]>>CC(C)(C)[O:33][C:22](=[CH:21][CH2:20][CH:10]([C:11]1=[CH:12][CH:13]=[C:14]([N+:15](=[O:16])[O-:86])[CH:63]=[CH:62]1)[S:61](C1=CC=CC=C1)(=[O:62])=[O:72])[O-:23] 10,11=10,20;12,13=11,12;14,15=13,14;16=15,16;20,21=21,22;22,23=23"
"COC1=C[C:71]2=[C:72](C=C1)[NH:62][CH:61]=[N:10]2.C[N+:23]1=[CH:22]/[C:21](=[CH:20]\[C:31]2=[CH:32][CH:33]=[C:34](C)[CH:35]=[CH:36]2)C2=CC=CC=C21>>COC1=C[C:71]2=[C:72](C=C1)[NH:62][CH:61]=[N+:10]2[CH:20]([C:21]1=[CH:22][N:23](C)C2=CC=CC=C21)[C:31]1=[CH:32][CH:33]=[C:34](C)[CH:35]=[CH:36]1 10=20;20,21=21,22;22,23=23"
"O=[N+]([O-])[C:33]1=[CH:32][C:21]([N+:22]([O-])=[O:23])=[CH:20][C:41]2=[N:42]O[N:35]=[C:34]12.[N:10]1=[CH:61][NH:62][CH:72]=[CH:71]1>>O=[N+]([O-])[C:33]1=[CH:32][C:21](=[N+:22]([O-])[O-:23])[CH:20]([N+:10]2=[CH:61][NH:62][CH:72]=[CH:71]2)[C:41]2=[N:42]O[N:35]=[C:34]12 10=20;20,21=21,22;22,23=23"
C/[N:10]=C/C1=CC=CC=C1.C1=CC=C([C+:20]2[S:31]CC[S:41]2)C=C1>>C/[N+:10](=C/C1=CC=CC=C1)[C:20]1(C2=CC=CC=C2)[S:31]CC[S:41]1 10=20
"CC[O:33][C:22](/[CH:21]=[CH:20]\[C:41](=[O:42])[O:52]CC)=[O:23].C[Si:63](C)(Cl)[CH2:62][CH:11]=[CH2:10]>>CC[O:33][C:22](=[CH:21][CH:20]([CH2:10][CH+:11][CH2:62][Si:63](C)(C)Cl)[C:41](=[O:42])[O:52]CC)[O-:23] 10,11=10,20;20,21=21,22;22,23=23"
"C[O:16][C:15]1=[CH:14][CH:13]=[C:12]([C:11]([H:10])([C:72]2=[CH:73][CH:74]=[C:75]([O:86]C)[CH:84]=[CH:83]2)[C:92]2=[CH:93][CH:94]=[CH:95][CH:104]=[CH:103]2)[CH:63]=[CH:64]1.F[C:44]1=[CH:43][CH:42]=[C:41]([CH+:20][C:31]2=[CH:32][CH:33]=[CH:34][CH:35]=[CH:36]2)[CH:46]=[CH:45]1>>C[O+:16]=[C:15]1[CH:14]=[CH:13][C:12](=[C:11]([C:72]2=[CH:73][CH:74]=[C:75]([O:86]C)[CH:84]=[CH:83]2)[C:92]2=[CH:93][CH:94]=[CH:95][CH:104]=[CH:103]2)[CH:63]=[CH:64]1.F[C:44]1=[CH:43][CH:42]=[C:41]([CH:20]([H:10])[C:31]2=[CH:32][CH:33]=[CH:34][CH:35]=[CH:36]2)[CH:46]=[CH:45]1 10,11=10,20;12,13=11,12;14,15=13,14;16=15,16"
"CCCC[Sn:63](CCCC)(CCCC)[CH2:62][C:11](C)=[CH2:10].CN(C)[C:34]1=[CH:33][CH:32]=[C:31]([CH:20]=[C:21]2[C:22](=[O:23])C3=C(C=CC=C3)[C:32]2=[O:33])[CH:36]=[CH:35]1>>CCCC[Sn:63](CCCC)(CCCC)[CH2:62][C+:11](C)[CH2:10][CH:20]([C:21]1=[C:22]([O-:23])C2=C(C=CC=C2)[C:32]1=[O:33])[C:31]1=[CH:32][CH:33]=[C:34](N(C)C)[CH:35]=[CH:36]1 10,11=10,20;20,21=21,22;22,23=23"
"CC(C)(C)[N+:61]#[C-:10].C[N+:23](C)=[CH:22]/[CH:21]=[CH:20]/[C:31]1=[CH:32][CH:33]=[CH:34][CH:35]=[CH:36]1>>CC(C)(C)[N+:61]#[C:10][CH:20]([CH:21]=[CH:22][N:23](C)C)[C:31]1=[CH:32][CH:33]=[CH:34][CH:35]=[CH:36]1 10=20;20,21=21,22;22,23=23"
"CC(C)(C)C1=CC=CC(C(C)(C)C)=C1[N:12]1[C:11](=[CH:10]C2=CC=C([N+](=O)[O-])C=C2)[N:63](C2=C(C(C)(C)C)C=CC=C2C(C)(C)C)[CH:64]=[CH:65]1.Cl[C:33]1=[CH:34][CH:35]=[CH:36][C:31]([C+:20]([C:41]2=[CH:42][C:43](Cl)=[CH:44][CH:45]=[CH:46]2)[C:51]2=[CH:52][C:53](Cl)=[CH:54][CH:55]=[CH:56]2)=[CH:32]1>>CC(C)(C)C1=CC=CC(C(C)(C)C)=C1[N+:12]1=[C:11]([CH:10](C2=CC=C([N+](=O)[O-])C=C2)[C:20]([C:31]2=[CH:32][C:33](Cl)=[CH:34][CH:35]=[CH:36]2)([C:41]2=[CH:42][C:43](Cl)=[CH:44][CH:45]=[CH:46]2)[C:51]2=[CH:52][C:53](Cl)=[CH:54][CH:55]=[CH:56]2)[N:63](C2=C(C(C)(C)C)C=CC=C2C(C)(C)C)[CH:64]=[CH:65]1 10,11=10,20;12=11,12"
"CC1(C)C[C:71](=[O:72])[C:10](=[I:11]C2=CC=CC=C2)[C:91](=[O:92])C1.CO[C:34]1=[CH:33][CH:32]=[C:31]([CH+:20][C:41]2=[CH:42][CH:43]=[C:44](C)[CH:45]=[CH:46]2)[CH:36]=[CH:35]1>>CO[C:34]1=[CH:33][CH:32]=[C:31]([CH:20]([C:10]2([I+:11]C3=CC=CC=C3)[C:71](=[O:72])CC(C)(C)C[C:91]2=[O:92])[C:41]2=[CH:42][CH:43]=[C:44](C)[CH:45]=[CH:46]2)[CH:36]=[CH:35]1 10,11=10,20"
"COC(=O)CC[C:11](=[CH2:10])[N:12](O[Si](C)(C)C)O[Si](C)(C)C.CO[C:44]1=[CH:43][CH:42]=[C:41](/[CH:20]=[CH:21]/[N+:22](=[O:23])[O-:33])[CH:46]=[CH:45]1>>COC(=O)CC[C:11]([CH2:10][CH:20]([CH:21]=[N+:22]([O-:23])[O-:33])[C:41]1=[CH:42][CH:43]=[C:44](OC)[CH:45]=[CH:46]1)=[N+:12](O[Si](C)(C)C)O[Si](C)(C)C 10,11=10,20;12=11,12;20,21=21,22;22,23=23"
"CN(C)[C:34]1=[CH:33][CH:32]=[C:31]([C+:20]([C:41]2=[CH:42][CH:43]=[CH:44][CH:45]=[CH:46]2)[C:51]2=[CH:52][CH:53]=[CH:54][CH:55]=[CH:56]2)[CH:36]=[CH:35]1.C[C:11](=[N:10][C:61](C)=[O:62])[O-:12]>>CN(C)[C:34]1=[CH:33][CH:32]=[C:31]([C:20]([N:10]([C:11](C)=[O:12])[C:61](C)=[O:62])([C:41]2=[CH:42][CH:43]=[CH:44][CH:45]=[CH:46]2)[C:51]2=[CH:52][CH:53]=[CH:54][CH:55]=[CH:56]2)[CH:36]=[CH:35]1 10,11=10,20;12=11,12"
"C1=CC=C(/[CH:10]=[C:11](/[N:12]2CCCCC2)[C:62]2=[CH:63][CH:64]=[CH:65][CH:74]=[CH:73]2)C=C1.COC1=CC(CC2C(=O)N(C)C(C)(C)/[N+:23]2=[CH:22]\[CH:21]=[CH:20]\[C:31]2=[CH:32][CH:33]=[CH:34][CH:35]=[CH:36]2)=CC(OC)=C1OC>>COC1=CC(CC2C(=O)N(C)C(C)(C)[N:23]2[CH:22]=[CH:21][CH:20]([CH:10](C2=CC=CC=C2)[C:11](=[N+:12]2CCCCC2)[C:62]2=[CH:63][CH:64]=[CH:65][CH:74]=[CH:73]2)[C:31]2=[CH:32][CH:33]=[CH:34][CH:35]=[CH:36]2)=CC(OC)=C1OC 10,11=10,20;12=11,12;20,21=21,22;22,23=23"
"CC[Si:63](CC)(CC)[CH2:62][C:11](C)=[C:10](C)C.CN1C(=O)C(CC2=CC=CC=C2)/[N+:23](=[CH:22]/[CH:21]=[CH:20]/[C:31]2=[CH:32][CH:33]=[CH:34][CH:35]=[CH:36]2)C1/C=C/C1=CC=CC=C1>>CC[Si:63](CC)(CC)[CH2:62][C+:11](C)[C:10](C)(C)[CH:20]([CH:21]=[CH:22][N:23]1C(CC2=CC=CC=C2)C(=O)N(C)C1/C=C/C1=CC=CC=C1)[C:31]1=[CH:32][CH:33]=[CH:34][CH:35]=[CH:36]1 10,11=10,20;20,21=21,22;22,23=23"
"CC1=CC=[C:10]([B-:11]23[O:62]CC(C)(C[O:72]2)C[O:82]3)O1.O=[N+]([O-])[C:33]1=[CH:32][C:21]([N+:22]([O-])=[O:23])=[CH:20][C:34]([N+](=O)[O-])=[CH:33]1>>CC12C[O:62][B:11]([O:72]C1)[O:82]C2.CC1=CC=[C:10]([CH:20]2[C:21](=[N+:22]([O-])[O-:23])[CH:32]=[C:33]([N+](=O)[O-])[CH:33]=[C:34]2[N+](=O)[O-])O1 10,11=10,20;20,21=21,22;22,23=23"
"CO[C:73]1=[CH:72][C:61]2=[C:62]([NH:12][CH:11]=[CH:10]2)[CH:63]=[CH:64]1.C[C:22](/[CH:21]=[CH:20]/[C:31]1=[CH:32][CH:33]=[CH:34][CH:35]=[CH:36]1)=[O:23]>>CO[C:73]1=[CH:72][C:61]2=[C:62]([NH+:12]=[CH:11][CH:10]2[CH:20]([CH:21]=[C:22](C)[O-:23])[C:31]2=[CH:32][CH:33]=[CH:34][CH:35]=[CH:36]2)[CH:63]=[CH:64]1 10,11=10,20;12=11,12;20,21=21,22;22,23=23"
"C1=CC=C([N:31]=[C:20]=[O:21])C=C1.CCCC[O:61][P:10]([O:71]CCCC)[O:81]CCCC>>CCCC[O:61][P+:10]([C:20]([O-:21])=[N:31]C1=CC=CC=C1)([O:71]CCCC)[O:81]CCCC 10=20;20,21=21"
"C1C[N:12]2CC[S:62][C:11]2=[N:10]1.C[C:22]1=[N+:23](C)C2=C(C=CC=C2)/[C:21]1=[CH:20]\[C:31]1=[CH:32][CH:33]=[CH:34][CH:35]=[CH:36]1>>C[C:22]1=[C:21]([CH:20]([N:10]2CC[N+:12]3=[C:11]2[S:62]CC3)[C:31]2=[CH:32][CH:33]=[CH:34][CH:35]=[CH:36]2)C2=C(C=CC=C2)[N:23]1C 10,11=10,20;12=11,12;20,21=21,22;22,23=23"
"C[Si](C)(C)[Si:63]([Si](C)(C)C)([Si](C)(C)C)[CH2:62][C:11](C)=[CH2:10].O=[N+]([O-])[C:33]1=[CH:32][C:21]([N+:22]([O-])=[O:23])=[CH:20][C:34]([N+](=O)[O-])=[CH:33]1>>C[Si](C)(C)[Si:63]([Si](C)(C)C)([Si](C)(C)C)[CH2:62][C+:11](C)[CH2:10][CH:20]1[C:21](=[N+:22]([O-])[O-:23])[CH:32]=[C:33]([N+](=O)[O-])[CH:33]=[C:34]1[N+](=O)[O-] 10,11=10,20;20,21=21,22;22,23=23"
"CN(C)C1=CC=C([CH:20]=[C:21]([S:32](C2=CC=CC=C2)(=[O:33])=[O:34])[S:41](C2=CC=CC=C2)(=[O:42])=[O:43])C=C1.[CH-:10]([C:61]#[N:62])[C:71]1=[CH:72][CH:73]=[C:74]([C:75]#[N:76])[CH:85]=[CH:84]1>>CN(C)C1=CC=C([CH:20]([CH:10]([C:61]#[N:62])[C:71]2=[CH:72][CH:73]=[C:74]([C:75]#[N:76])[CH:85]=[CH:84]2)[C-:21]([S:32](C2=CC=CC=C2)(=[O:33])=[O:34])[S:41](C2=CC=CC=C2)(=[O:42])=[O:43])C=C1 10=20;20,21=21"
"CC(C)[C@@H]1C[N:62]2C3=C(C=CC=C3)[S:72][C:61]2=[N:10][C@@H]1C1=CC=CC=C1.F[S:32]([CH:21]=[CH2:20])(=[O:33])=[O:34]>>CC(C)[C@@H]1C[N:62]2C3=C(C=CC=C3)[S:72][C:61]2=[N+:10]([CH2:20][CH-:21][S:32](F)(=[O:33])=[O:34])[C@@H]1C1=CC=CC=C1 10=20;20,21=21"
"CC(C)(C)[O:33][C:22](/[N:21]=[CH:20]/C1=CC=CC=C1)=[O:23].CC1(C)C[C:11]([O-:12])=[N:10][C:61](=[O:62])C1>>CC1(C)C[C:11](=[O:12])[N:10]([CH:20](C2=CC=CC=C2)[N:21]=[C:22]([O-:23])[O:33]C(C)(C)C)[C:61](=[O:62])C1 10,11=10,20;12=11,12;20,21=21,22;22,23=23"
"COC1=CC=C([C:11](=[CH2:10])[NH:12][C:63](C)=[O:64])C=C1.N#C[C:44]1=[CH:43][CH:42]=[C:41](/[CH:20]=[CH:21]/[N+:22](=[O:23])[O-:33])[CH:46]=[CH:45]1>>COC1=CC=C([C:11]([CH2:10][CH:20]([CH:21]=[N+:22]([O-:23])[O-:33])[C:41]2=[CH:42][CH:43]=[C:44](C#N)[CH:45]=[CH:46]2)=[NH+:12][C:63](C)=[O:64])C=C1 10,11=10,20;12=11,12;20,21=21,22;22,23=23"
"C1CCC[C:20](=[O:21])CC1.C[Si:11](C)([H:10])[CH:62]([Si:63](C)(C)C)[Si:73](C)(C)C>>C1CCC[C:20]([H:10])([O-:21])CC1.C[Si+:11](C)[CH:62]([Si:63](C)(C)C)[Si:73](C)(C)C 10,11=10,20;20,21=21"
"C1=CC=C([CH:20]=[O:21])C=C1.CC[O:72][C:61]([S-:10])=[S:62]>>CC[O:72][C:61]([S:10][CH:20](C1=CC=CC=C1)[O-:21])=[S:62] 10=20;20,21=21"
C[C:34]1=[CH:33][CH:32]=[C:31]([CH+:20][C:41]2=[CH:42][CH:43]=[C:44](C)[CH:45]=[CH:46]2)[CH:36]=[CH:35]1.C[N:62](C)[C:61](=[NH:10])[N:72](C)C>>C[C:34]1=[CH:33][CH:32]=[C:31]([CH:20]([NH+:10]=[C:61]([N:62](C)C)[N:72](C)C)[C:41]2=[CH:42][CH:43]=[C:44](C)[CH:45]=[CH:46]2)[CH:36]=[CH:35]1 10=20
"C1=CC2=CC=CC(CC3CC4CC[N:10]3CC4)=C2C=C1.C[C:22](/[CH:21]=[CH:20]/[C:31]1=[CH:32][CH:33]=[C:34]([N+](=O)[O-])[CH:35]=[CH:36]1)=[O:23]>>C[C:22](=[CH:21][CH:20]([N+:10]12CCC(CC1)CC2CC1=C2C=CC=CC2=CC=C1)[C:31]1=[CH:32][CH:33]=[C:34]([N+](=O)[O-])[CH:35]=[CH:36]1)[O-:23] 10=20;20,21=21,22;22,23=23"
"C1CCN([C:34]2=[CH:33][CH:32]=[C:31]([CH+:20][C:41]3=[CH:42][CH:43]=[C:44](N4CCCC4)[CH:45]=[CH:46]3)[CH:36]=[CH:35]2)C1.CC[O:73][C:61](/[C:10](Cl)=[C:11](\[O-:12])[O:82]CC)=[O:62]>>CC[O:73][C:61]([C:10](Cl)([C:11](=[O:12])[O:82]CC)[CH:20]([C:31]1=[CH:32][CH:33]=[C:34](N2CCCC2)[CH:35]=[CH:36]1)[C:41]1=[CH:42][CH:43]=[C:44](N2CCCC2)[CH:45]=[CH:46]1)=[O:62] 10,11=10,20;12=11,12"
"C1C[C:20](=[O:21])CCS1.[H][C:11]1([H:10])[CH:12]=[CH:13][N:14](C2=CC=CC=C2)[CH:63]=[C:62]1C(N)=O>>C1C[C:20]([H:10])([O-:21])CCS1.[H][C:11]1=[CH:12][CH:13]=[N+:14](C2=CC=CC=C2)[CH:63]=[C:62]1C(N)=O 10,11=10,20;12,13=11,12;14=13,14;20,21=21"
