SMILES Labelled,Unnamed: 1,Unnamed: 2,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
"[H:20][CH:21](CC)[C+:22](C)C=O.OS(=O)(=O)[O-:10]>>CCC=C(C)C=O.OS(=O)(=O)O 10=20;20,21=21,22",Lone to sigma*,,,,,
"[H:20][O:21]S(=O)(=O)O.C1=CC=C(C=C1)C=[O:10]>>c1ccc(cc1)C=[OH+].OS(=O)(=O)[O-] 10=20;20,21=21",Lone to sigma*,,,,,
"C[C:11](=[CH2:10])[OH:12].C1=CC=C(C=C1)[CH:20]=[OH+:21]>>CC(=[OH+])CC(c1ccccc1)O 10,11=10,20;12=11;20,21=21",Pi to pi*,,,,,
"[H:20][O:21]S(=O)(=O)O.CC(=O)CC(C1=CC=CC=C1)[OH:10]>>CC(=O)CC(c1ccccc1)[OH2+].OS(=O)(=O)[O-] 10=20;20,21=21",Lone to sigma*,,,,,
"CC(=O)C[CH:20](C1=CC=CC=C1)[OH2+:21]>>CC(=O)C[CH+]c1ccccc1.O 20,21=21",Sigma to sigma*,,,,,
"[H:20][CH:21]([CH+:22]C1=CC=CC=C1)C(=O)C.OS(=O)(=O)[O-:10]>>CC(=O)C=Cc1ccccc1.OS(=O)(=O)O 10=20;20,21=21,22",Lone to sigma*,,,,,
"[CH2:10]=[CH:11][OH:12].C1=CC=C(C=C1)[CH:20]=[OH+:21]>>c1ccc(cc1)C(CC=[OH+])O 10,11=10,20;12=11;20,21=21",Pi to pi*,,,,,
"[H:20][O:21]S(=O)(=O)O.C1=CC=C(C=C1)C(CC=O)[OH:10]>>c1ccc(cc1)C(CC=O)[OH2+].OS(=O)(=O)[O-] 10=20;20,21=21",Lone to sigma*,,,,,
"C1=CC=C(C=C1)[CH:20](CC=O)[OH2+:21]>>c1ccc(cc1)[CH+]CC=O.O 20,21=21",Sigma to sigma*,,,,,
"[H:20][CH:21](C=O)[CH+:22]C1=CC=CC=C1.OS(=O)(=O)[O-:10]>>c1ccc(cc1)C=CC=O.OS(=O)(=O)O 10=20;20,21=21,22",Lone to sigma*,,,,,
"[H:20][O:21]S(=O)(=O)O.C=[O:10]>>C=[OH+].OS(=O)(=O)[O-] 10=20;20,21=21",Lone to sigma*,,,,,
"C[C:11](=[CH2:10])[OH:12].[CH2:20]=[OH+:21]>>CC(=[OH+])CCO 10,11=10,20;12=11;20,21=21",Pi to pi*,,,,,
"[H:20][O:21]S(=O)(=O)O.CC(=O)CC[OH:10]>>CC(=O)CC[OH2+].OS(=O)(=O)[O-] 10=20;20,21=21",Lone to sigma*,,,,,
"[H:20][CH:21]([CH2:22][OH2+:23])C(=O)C.OS(=O)(=O)[O-:10]>>CC(=O)C=C.O.OS(=O)(=O)O 10=20;20,21=21,22;22,23=23",Lone to sigma*,,,,,
"CC(=O)CCC(=[O:10])C.[H:20][O:21]S(=O)(=O)O>>CC(=[OH+])CCC(=O)C.OS(=O)(=O)[O-] 10=20;20,21=21",Lone to sigma*,,,,,
"[H:20][CH2:21][C:22](=[OH+:23])CCC(=O)C.OS(=O)(=O)[O-:10]>>CC(=O)CCC(=C)O.OS(=O)(=O)O 10=20;20,21=21,22;22,23=23",Lone to sigma*,,,,,
"C[C:20](=[OH+:21])CC[C:11](=[CH2:10])[OH:12]>>CC1(CCC(=[OH+])C1)O 10,11=10,20;12=11;20,21=21",Pi to pi*,,,,,
"[H:20][O:21]S(=O)(=O)O.CC1(CCC(=O)C1)[OH:10]>>CC1(CCC(=O)C1)[OH2+].OS(=O)(=O)[O-] 10=20;20,21=21",Lone to sigma*,,,,,
"C[C:20]1(CCC(=O)C1)[OH2+:21]>>C[C+]1CCC(=O)C1.O 20,21=21",Sigma to sigma*,,,,,
"[H:20][CH:21]1C(=O)CC[C+:22]1C.OS(=O)(=O)[O-:10]>>CC1=CC(=O)CC1.OS(=O)(=O)O 10=20;20,21=21,22",Lone to sigma*,,,,,
"CC(=O)CCCC(=[O:10])C.[H:20][O:21]S(=O)(=O)O>>CC(=[OH+])CCCC(=O)C.OS(=O)(=O)[O-] 10=20;20,21=21",Lone to sigma*,,,,,
"[H:20][CH2:21][C:22](=[OH+:23])CCCC(=O)C.OS(=O)(=O)[O-:10]>>CC(=O)CCCC(=C)O.OS(=O)(=O)O 10=20;20,21=21,22;22,23=23",Lone to sigma*,,,,,
"C[C:20](=[OH+:21])CCC[C:11](=[CH2:10])[OH:12]>>CC1(CCCC(=[OH+])C1)O 10,11=10,20;12=11;20,21=21",Pi to pi*,,,,,
"[H:20][O:21]S(=O)(=O)O.CC1(CCCC(=O)C1)[OH:10]>>CC1(CCCC(=O)C1)[OH2+].OS(=O)(=O)[O-] 10=20;20,21=21",Lone to sigma*,,,,,
"C[C:20]1(CCCC(=O)C1)[OH2+:21]>>C[C+]1CCCC(=O)C1.O 20,21=21",Sigma to sigma*,,,,,
"[H:20][CH:21]1C(=O)CCC[C+:22]1C.OS(=O)(=O)[O-:10]>>CC1=CC(=O)CCC1.OS(=O)(=O)O 10=20;20,21=21,22",Lone to sigma*,,,,,
"[H:20][O:21]S(=O)(=O)O.CC=[N:10]C>>CC=[NH+]C.OS(=O)(=O)[O-] 10=20;20,21=21",Lone to sigma*,,,,,
"CC[OH:10].C[CH:20]=[NH+:21]C>>CC[OH+]C(C)NC 10=20;20,21=21",Lone to pi*,,,,,
"[H:20][O+:21](CC)C(C)NC.OS(=O)(=O)[O-:10]>>CCOC(C)NC.OS(=O)(=O)O 10=20;20,21=21",Lone to sigma*,,,,,
"[H:20][O:21]S(=O)(=O)O.CCOC(C)[NH:10]C>>CCOC(C)[NH2+]C.OS(=O)(=O)[O-] 10=20;20,21=21",Lone to sigma*,,,,,
"CC[O:10][CH:20](C)[NH2+:21]C>>CC[O+]=CC.CN 10=20;20,21=21",Lone to sigma*,,,,,
"CC[OH:10].CC[O+:21]=[CH:20]C>>CC[OH+]C(C)OCC 10=20;20,21=21",Lone to pi*,,,,,
"[H:20][O+:21](CC)C(C)OCC.OS(=O)(=O)[O-:10]>>CCOC(C)OCC.OS(=O)(=O)O 10=20;20,21=21",Lone to sigma*,,,,,
"[H:20][O:21]S(=O)(=O)O.C[N:12](C)[CH:11]=[CH2:10]>>CC=[N+](C)C.OS(=O)(=O)[O-] 10,11=10,20;12=11;20,21=21",Pi to sigma*,,,,,
"CC[OH:10].C[CH:20]=[N+:21](C)C>>CC[OH+]C(C)N(C)C 10=20;20,21=21",Lone to pi*,,,,,
"[H:20][O+:21](CC)C(C)N(C)C.OS(=O)(=O)[O-:10]>>CCOC(C)N(C)C.OS(=O)(=O)O 10=20;20,21=21",Lone to sigma*,,,,,
"[H:20][O:21]S(=O)(=O)O.CCOC(C)[N:10](C)C>>CCOC(C)[NH+](C)C.OS(=O)(=O)[O-] 10=20;20,21=21",Lone to sigma*,,,,,
"CC[O:10][CH:20](C)[NH+:21](C)C>>CC[O+]=CC.CNC 10=20;20,21=21",Lone to sigma*,,,,,
"[H:20][O:21]S(=O)(=O)O.C1C([O:10]1)O>>C1C([OH+]1)O.OS(=O)(=O)[O-] 10=20;20,21=21",Lone to sigma*,,,,,
"C1[CH:20]([OH+:21]1)[OH:10]>>C(C=[OH+])O 10=20;20,21=21",Lone to sigma*,,,,,
"[H:20][O+:21]=CCO.OS(=O)(=O)[O-:10]>>C(C=O)O.OS(=O)(=O)O 10=20;20,21=21",Lone to sigma*,,,,,
"[H:20][O:21]S(=O)(=O)O.C1C([O:10]1)CO>>C1C([OH+]1)CO.OS(=O)(=O)[O-] 10=20;20,21=21",Lone to sigma*,,,,,
"C1[CH:20]([OH+:21]1)CO.C1C(O1)C[OH:10]>>C1C(O1)C[OH+]C(CO)CO 10=20;20,21=21",Lone to sigma*,,,,,
"[H:20][O+:21](CC1CO1)C(CO)CO.OS(=O)(=O)[O-:10]>>C1C(O1)COC(CO)CO.OS(=O)(=O)O 10=20;20,21=21",Lone to sigma*,,,,,
"[H:20][O:21]S(=O)(=O)O.C1C([O:10]1)CCO>>C1C([OH+]1)CCO.OS(=O)(=O)[O-] 10=20;20,21=21",Lone to sigma*,,,,,
"C1[CH:20]([OH+:21]1)CCO.C1C(O1)CC[OH:10]>>C1C(O1)CC[OH+]C(CCO)CO 10=20;20,21=21",Lone to sigma*,,,,,
"[H:20][O+:21](CCC1CO1)C(CCO)CO.OS(=O)(=O)[O-:10]>>C1C(O1)CCOC(CCO)CO.OS(=O)(=O)O 10=20;20,21=21",Lone to sigma*,,,,,
"[H:20][O:21]S(=O)(=O)O.C1C([O:10]1)CCCO>>C1C([OH+]1)CCCO.OS(=O)(=O)[O-] 10=20;20,21=21",Lone to sigma*,,,,,
"C1[CH:20]([OH+:21]1)CCC[OH:10]>>C1CC([OH+]C1)CO 10=20;20,21=21",Lone to sigma*,,,,,
"[H:20][O+:21]1CCCC1CO.OS(=O)(=O)[O-:10]>>C1CC(OC1)CO.OS(=O)(=O)O 10=20;20,21=21",Lone to sigma*,,,,,
"[H:20][O:21]S(=O)(=O)O.C1C([O:10]1)CCCCO>>C1C([OH+]1)CCCCO.OS(=O)(=O)[O-] 10=20;20,21=21",Lone to sigma*,,,,,
"C1[CH:20]([OH+:21]1)CCCC[OH:10]>>C1CC[OH+]C(C1)CO 10=20;20,21=21",Lone to sigma*,,,,,
"[H:20][O+:21]1CCCCC1CO.OS(=O)(=O)[O-:10]>>C1CCOC(C1)CO.OS(=O)(=O)O 10=20;20,21=21",Lone to sigma*,,,,,
"[H:20][O:21]S(=O)(=O)O.C1C([O:10]1)CCCCCO>>C1C([OH+]1)CCCCCO.OS(=O)(=O)[O-] 10=20;20,21=21",Lone to sigma*,,,,,
"C1[CH:20]([OH+:21]1)CCCCCO.C1C(O1)CCCCC[OH:10]>>C1C(O1)CCCCC[OH+]C(CCCCCO)CO 10=20;20,21=21",Lone to sigma*,,,,,
"[H:20][O+:21](CCCCCC1CO1)C(CCCCCO)CO.OS(=O)(=O)[O-:10]>>C1C(O1)CCCCCOC(CCCCCO)CO.OS(=O)(=O)O 10=20;20,21=21",Lone to sigma*,,,,,
"[H:20][O:21]S(=O)(=O)O.CC1C([O:10]1)O>>CC1C([OH+]1)O.OS(=O)(=O)[O-] 10=20;20,21=21",Lone to sigma*,,,,,
"CC1[CH:20]([OH+:21]1)[OH:10]>>CC(C=[OH+])O 10=20;20,21=21",Lone to sigma*,,,,,
"[H:20][O+:21]=CC(C)O.OS(=O)(=O)[O-:10]>>CC(C=O)O.OS(=O)(=O)O 10=20;20,21=21",Lone to sigma*,,,,,
"[H:20][O:21]S(=O)(=O)O.CC1C([O:10]1)CCCO>>CC1C([OH+]1)CCCO.OS(=O)(=O)[O-] 10=20;20,21=21",Lone to sigma*,,,,,
"CC1[CH:20]([OH+:21]1)CCC[OH:10]>>CC(C1CCC[OH+]1)O 10=20;20,21=21",Lone to sigma*,,,,,
"[H:20][O+:21]1CCCC1C(C)O.OS(=O)(=O)[O-:10]>>CC(C1CCCO1)O.OS(=O)(=O)O 10=20;20,21=21",Lone to sigma*,,,,,
"[H:20][O:21]S(=O)(=O)O.CC1C([O:10]1)CCCCO>>CC1C([OH+]1)CCCCO.OS(=O)(=O)[O-] 10=20;20,21=21",Lone to sigma*,,,,,
"CC1[CH:20]([OH+:21]1)CCCC[OH:10]>>CC(C1CCCC[OH+]1)O 10=20;20,21=21",Lone to sigma*,,,,,
"[H:20][O+:21]1CCCCC1C(C)O.OS(=O)(=O)[O-:10]>>CC(C1CCCCO1)O.OS(=O)(=O)O 10=20;20,21=21",Lone to sigma*,,,,,
"[H:20][O:21]S(=O)(=O)O.C[C:11](=[CH2:10])CO>>C[C+](C)CO.OS(=O)(=O)[O-] 10,11=10,20;20,21=21",Pi to sigma*,,,,,
"[H:20][CH:21]([C+:22](C)C)O.CC(=C)C[OH:10]>>CC(=CO)C.CC(=C)C[OH2+] 10=20;20,21=21,22",Lone to sigma*,,,,,
CC(=C)C[OH:10].C[C+:20](C)CO>>CC(=C)C[OH+]C(C)(C)CO 10=20,Lone to empty,,,,,
"[H:20][O:21]S(=O)(=O)O.C[C:10](=[CH:11][OH:12])C>>CC(C)C=[OH+].OS(=O)(=O)[O-] 10,11=10,20;12=11;20,21=21",Pi to sigma*,,,,,
"[H:20][O+:21]=CC(C)C.OS(=O)(=O)[O-:10]>>CC(C)C=O.OS(=O)(=O)O 10=20;20,21=21",Lone to sigma*,,,,,
"[H:20][O+:21](CC(=C)C)C(C)(C)CO.OS(=O)(=O)[O-:10]>>CC(=C)COC(C)(C)CO.OS(=O)(=O)O 10=20;20,21=21",Lone to sigma*,,,,,
"[H:20][O:21]S(=O)(=O)O.C[C:11](=[CH2:10])CCO>>C[C+](C)CCO.OS(=O)(=O)[O-] 10,11=10,20;20,21=21",Pi to sigma*,,,,,
"[H:20][CH:21](CO)[C+:22](C)C.CC(=C)CC[OH:10]>>CC(=CCO)C.CC(=C)CC[OH2+] 10=20;20,21=21,22",Lone to sigma*,,,,,
CC(=C)CC[OH:10].C[C+:20](C)CCO>>CC(=C)CC[OH+]C(C)(C)CCO 10=20,Lone to empty,,,,,
"[H:20][O+:21](CCC(=C)C)C(C)(C)CCO.OS(=O)(=O)[O-:10]>>CC(=C)CCOC(C)(C)CCO.OS(=O)(=O)O 10=20;20,21=21",Lone to sigma*,,,,,
"[H:20][O:21]S(=O)(=O)O.C[C:11](=[CH2:10])CCCO>>C[C+](C)CCCO.OS(=O)(=O)[O-] 10,11=10,20;20,21=21",Pi to sigma*,,,,,
C[C+:20](C)CCC[OH:10]>>CC1(CCC[OH+]1)C 10=20,Lone to empty,,,,,
"[H:20][O+:21]1CCCC1(C)C.OS(=O)(=O)[O-:10]>>CC1(CCCO1)C.OS(=O)(=O)O 10=20;20,21=21",Lone to sigma*,,,,,
"[H:20][O:21]S(=O)(=O)O.C[C:11](=[CH2:10])CCCCO>>C[C+](C)CCCCO.OS(=O)(=O)[O-] 10,11=10,20;20,21=21",Pi to sigma*,,,,,
C[C+:20](C)CCCC[OH:10]>>CC1(CCCC[OH+]1)C 10=20,Lone to empty,,,,,
"[H:20][O+:21]1CCCCC1(C)C.OS(=O)(=O)[O-:10]>>CC1(CCCCO1)C.OS(=O)(=O)O 10=20;20,21=21",Lone to sigma*,,,,,
"[H:20][O:21]S(=O)(=O)O.C[Si](C)(C)OCCC(=[O:10])O>>C[Si](C)(C)OCCC(=[OH+])O.OS(=O)(=O)[O-] 10=20;20,21=21",Lone to sigma*,,,,,
"CC[OH:10].C[Si](C)(C)OCC[C:20](=[OH+:21])O>>CC[OH+]C(CCO[Si](C)(C)C)(O)O 10=20;20,21=21",Lone to pi*,,,,,
"[H:20][O+:21](CC)C(CCO[Si](C)(C)C)(O)O.OS(=O)(=O)[O-:10]>>CCOC(CCO[Si](C)(C)C)(O)O.OS(=O)(=O)O 10=20;20,21=21",Lone to sigma*,,,,,
"CCOC(CCO[Si](C)(C)C)(O)[OH:10].[H:20][O:21]S(=O)(=O)O>>CCOC(CCO[Si](C)(C)C)([OH2+])O.OS(=O)(=O)[O-] 10=20;20,21=21",Lone to sigma*,,,,,
"[H:20][O:21]S(=O)(=O)O.CC[O:10]C(CCO[Si](C)(C)C)(O)O>>CC[OH+]C(CCO[Si](C)(C)C)(O)O.OS(=O)(=O)[O-] 10=20;20,21=21",Lone to sigma*,,,,,
"CCO[C:20](CCO[Si](C)(C)C)([OH2+:21])[OH:10]>>CCOC(=[OH+])CCO[Si](C)(C)C.O 10=20;20,21=21",Lone to sigma*,,,,,
"[H:20][O+:21]=C(CCO[Si](C)(C)C)OCC.OS(=O)(=O)[O-:10]>>CCOC(=O)CCO[Si](C)(C)C.OS(=O)(=O)O 10=20;20,21=21",Lone to sigma*,,,,,
"CC[OH+:21][C:20](CCO[Si](C)(C)C)(O)[OH:10]>>CCO.C[Si](C)(C)OCCC(=[OH+])O 10=20;20,21=21",Lone to sigma*,,,,,
"[H:20][O:21]S(=O)(=O)O.COC(=O)C1CCC(=[O:10])CC1>>COC(=O)C1CCC(=[OH+])CC1.OS(=O)(=O)[O-] 10=20;20,21=21",Lone to sigma*,,,,,
"C(CO)[OH:10].COC(=O)C1CC[C:20](=[OH+:21])CC1>>COC(=O)C1CCC(CC1)(O)[OH+]CCO 10=20;20,21=21",Lone to pi*,,,,,
"[H:20][O+:21](CCO)C1(CCC(CC1)C(=O)OC)O.OS(=O)(=O)[O-:10]>>COC(=O)C1CCC(CC1)(O)OCCO.OS(=O)(=O)O 10=20;20,21=21",Lone to sigma*,,,,,
"[H:20][O:21]S(=O)(=O)O.COC(=O)C1CCC(CC1)([OH:10])OCCO>>COC(=O)C1CCC(CC1)([OH2+])OCCO.OS(=O)(=O)[O-] 10=20;20,21=21",Lone to sigma*,,,,,
"COC(=O)C1CC[C:20](CC1)([OH2+:21])[O:10]CCO>>COC(=O)C1CCC(=[O+]CCO)CC1.O 10=20;20,21=21",Lone to sigma*,,,,,
"COC(=O)C1CC[C:20](=[O+:21]CC[OH:10])CC1>>COC(=O)C1CCC2(CC1)[OH+]CCO2 10=20;20,21=21",Lone to pi*,,,,,
"[H:20][O+:21]1CCOC12CCC(CC2)C(=O)OC.OS(=O)(=O)[O-:10]>>COC(=O)C1CCC2(CC1)OCCO2.OS(=O)(=O)O 10=20;20,21=21",Lone to sigma*,,,,,
"[H:20][O:21]S(=O)(=O)O.CC(=O)OC(=O)CCC(=[O:10])Cl>>CC(=O)OC(=O)CCC(=[OH+])Cl.OS(=O)(=O)[O-] 10=20;20,21=21",Lone to sigma*,,,,,
"CC[OH:10].CC(=O)OC(=O)CC[C:20](=[OH+:21])Cl>>CC[OH+]C(CCC(=O)OC(=O)C)(O)Cl 10=20;20,21=21",Lone to pi*,,,,,
"[H:20][O+:21](CC)C(CCC(=O)OC(=O)C)(O)Cl.OS(=O)(=O)[O-:10]>>CCOC(CCC(=O)OC(=O)C)(O)Cl.OS(=O)(=O)O 10=20;20,21=21",Lone to sigma*,,,,,
"CCO[C:20](CCC(=O)OC(=O)C)([OH:10])[Cl:21]>>CCOC(=[OH+])CCC(=O)OC(=O)C.[Cl-] 10=20;20,21=21",Lone to sigma*,,,,,
"[H:20][O+:21]=C(CCC(=O)OC(=O)C)OCC.OS(=O)(=O)[O-:10]>>CCOC(=O)CCC(=O)OC(=O)C.OS(=O)(=O)O 10=20;20,21=21",Lone to sigma*,,,,,
"[H:20][O:21]S(=O)(=O)O.CC(=[O:10])OC(=O)CCC=O>>CC(=[OH+])OC(=O)CCC=O.OS(=O)(=O)[O-] 10=20;20,21=21",Lone to sigma*,,,,,
"[H:20][O:21]S(=O)(=O)O.CC(=O)OC(=[O:10])CCC=O>>CC(=O)OC(=[OH+])CCC=O.OS(=O)(=O)[O-] 10=20;20,21=21",Lone to sigma*,,,,,
"CC[OH:10].C[C:20](=[OH+:21])OC(=O)CCC=O>>CC[OH+]C(C)(O)OC(=O)CCC=O 10=20;20,21=21",Lone to pi*,,,,,
"[H:20][O+:21](CC)C(C)(O)OC(=O)CCC=O.OS(=O)(=O)[O-:10]>>CCOC(C)(O)OC(=O)CCC=O.OS(=O)(=O)O 10=20;20,21=21",Lone to sigma*,,,,,
"CCO[C:20](C)([OH:10])[O:21]C(=O)CCC=O>>CCOC(=[OH+])C.C(CC(=O)[O-])C=O 10=20;20,21=21",Lone to sigma*,,,,,
"[H:20][O+:21]=C(C)OCC.OS(=O)(=O)[O-:10]>>CCOC(=O)C.OS(=O)(=O)O 10=20;20,21=21",Lone to sigma*,,,,,
"[H:20][O:21]S(=O)(=O)O.C(CC(=O)[O-:10])C=O>>C(CC(=O)O)C=O.OS(=O)(=O)[O-] 10=20;20,21=21",Lone to sigma*,,,,,
"CC[OH:10].CC(=O)O[C:20](=[OH+:21])CCC=O>>CC[OH+]C(CCC=O)(O)OC(=O)C 10=20;20,21=21",Lone to pi*,,,,,
"[H:20][O+:21](CC)C(CCC=O)(O)OC(=O)C.OS(=O)(=O)[O-:10]>>CCOC(CCC=O)(O)OC(=O)C.OS(=O)(=O)O 10=20;20,21=21",Lone to sigma*,,,,,
"CCO[C:20](CCC=O)([OH:10])[O:21]C(=O)C>>CCOC(=[OH+])CCC=O.CC(=O)[O-] 10=20;20,21=21",Lone to sigma*,,,,,
"[H:20][O+:21]=C(CCC=O)OCC.OS(=O)(=O)[O-:10]>>CCOC(=O)CCC=O.OS(=O)(=O)O 10=20;20,21=21",Lone to sigma*,,,,,
"[H:20][O:21]S(=O)(=O)O.CC(=O)CCCCCCC=[O:10]>>CC(=O)CCCCCCC=[OH+].OS(=O)(=O)[O-] 10=20;20,21=21",Lone to sigma*,,,,,
"CC[OH:10].CC(=O)CCCCCC[CH:20]=[OH+:21]>>CC[OH+]C(CCCCCCC(=O)C)O 10=20;20,21=21",Lone to pi*,,,,,
"[H:20][O+:21](CC)C(CCCCCCC(=O)C)O.OS(=O)(=O)[O-:10]>>CCOC(CCCCCCC(=O)C)O.OS(=O)(=O)O 10=20;20,21=21",Lone to sigma*,,,,,
"[H:20][O:21]S(=O)(=O)O.CCOC(CCCCCCC(=O)C)[OH:10]>>CCOC(CCCCCCC(=O)C)[OH2+].OS(=O)(=O)[O-] 10=20;20,21=21",Lone to sigma*,,,,,
"CC[O:10][CH:20](CCCCCCC(=O)C)[OH2+:21]>>CC[O+]=CCCCCCCC(=O)C.O 10=20;20,21=21",Lone to sigma*,,,,,
"CC[OH:10].CC[O+:21]=[CH:20]CCCCCCC(=O)C>>CC[OH+]C(CCCCCCC(=O)C)OCC 10=20;20,21=21",Lone to pi*,,,,,
"[H:20][O+:21](CC)C(CCCCCCC(=O)C)OCC.OS(=O)(=O)[O-:10]>>CCOC(CCCCCCC(=O)C)OCC.OS(=O)(=O)O 10=20;20,21=21",Lone to sigma*,,,,,
"[H:20][O:21]S(=O)(=O)O.CCOC(=O)CCC(=[O:10])C>>CCOC(=O)CCC(=[OH+])C.OS(=O)(=O)[O-] 10=20;20,21=21",Lone to sigma*,,,,,
"CC[OH:10].CCOC(=O)CC[C:20](=[OH+:21])C>>CC[OH+]C(C)(CCC(=O)OCC)O 10=20;20,21=21",Lone to pi*,,,,,
"[H:20][O+:21](CC)C(C)(CCC(=O)OCC)O.OS(=O)(=O)[O-:10]>>CCOC(=O)CCC(C)(O)OCC.OS(=O)(=O)O 10=20;20,21=21",Lone to sigma*,,,,,
"[H:20][O:21]S(=O)(=O)O.CCOC(=O)CCC(C)([OH:10])OCC>>CCOC(=O)CCC(C)([OH2+])OCC.OS(=O)(=O)[O-] 10=20;20,21=21",Lone to sigma*,,,,,
"CCOC(=O)CC[C:20](C)([OH2+:21])[O:10]CC>>CCOC(=O)CCC(=[O+]CC)C.O 10=20;20,21=21",Lone to sigma*,,,,,
"CC[OH:10].CCOC(=O)CC[C:20](=[O+:21]CC)C>>CC[OH+]C(C)(CCC(=O)OCC)OCC 10=20;20,21=21",Lone to pi*,,,,,
"[H:20][O+:21](CC)C(C)(CCC(=O)OCC)OCC.OS(=O)(=O)[O-:10]>>CCOC(=O)CCC(C)(OCC)OCC.OS(=O)(=O)O 10=20;20,21=21",Lone to sigma*,,,,,
"[H:20][O:21]S(=O)(=O)O.CNC(=O)CCC(=[O:10])OC>>CNC(=O)CCC(=[OH+])OC.OS(=O)(=O)[O-] 10=20;20,21=21",Lone to sigma*,,,,,
"CC[OH:10].CNC(=O)CC[C:20](=[OH+:21])OC>>CC[OH+]C(CCC(=O)NC)(O)OC 10=20;20,21=21",Lone to pi*,,,,,
"[H:20][O+:21](CC)C(CCC(=O)NC)(O)OC.OS(=O)(=O)[O-:10]>>CCOC(CCC(=O)NC)(O)OC.OS(=O)(=O)O 10=20;20,21=21",Lone to sigma*,,,,,
"[H:20][O:21]S(=O)(=O)O.CCOC(CCC(=O)NC)(O)[O:10]C>>CCOC(CCC(=O)NC)(O)[OH+]C.OS(=O)(=O)[O-] 10=20;20,21=21",Lone to sigma*,,,,,
"[H:20][O:21]S(=O)(=O)O.CC[O:10]C(CCC(=O)NC)(O)OC>>CC[OH+]C(CCC(=O)NC)(O)OC.OS(=O)(=O)[O-] 10=20;20,21=21",Lone to sigma*,,,,,
"CCO[C:20](CCC(=O)NC)([OH:10])[OH+:21]C>>CCOC(=[OH+])CCC(=O)NC.CO 10=20;20,21=21",Lone to sigma*,,,,,
"[H:20][O+:21]=C(CCC(=O)NC)OCC.OS(=O)(=O)[O-:10]>>CCOC(=O)CCC(=O)NC.OS(=O)(=O)O 10=20;20,21=21",Lone to sigma*,,,,,
"CC[OH+:21][C:20](CCC(=O)NC)([OH:10])OC>>CCO.CNC(=O)CCC(=[OH+])OC 10=20;20,21=21",Lone to sigma*,,,,,
"[H:20][O:21]S(=O)(=O)O.CNC(=[O:10])CC#N>>CNC(=[OH+])CC#N.OS(=O)(=O)[O-] 10=20;20,21=21",Lone to sigma*,,,,,
"CC[OH:10].CN[C:20](=[OH+:21])CC#N>>CC[OH+]C(CC#N)(NC)O 10=20;20,21=21",Lone to pi*,,,,,
"[H:20][O+:21](CC)C(CC#N)(NC)O.OS(=O)(=O)[O-:10]>>CCOC(CC#N)(NC)O.OS(=O)(=O)O 10=20;20,21=21",Lone to sigma*,,,,,
"[H:20][O:21]S(=O)(=O)O.CCOC(CC#N)([NH:10]C)O>>CCOC(CC#N)([NH2+]C)O.OS(=O)(=O)[O-] 10=20;20,21=21",Lone to sigma*,,,,,
"[H:20][O:21]S(=O)(=O)O.CC[O:10]C(CC#N)(NC)O>>CC[OH+]C(CC#N)(NC)O.OS(=O)(=O)[O-] 10=20;20,21=21",Lone to sigma*,,,,,
"CCO[C:20](CC#N)([NH2+:21]C)[OH:10]>>CCOC(=[OH+])CC#N.CN 10=20;20,21=21",Lone to sigma*,,,,,
"[H:20][O+:21]=C(CC#N)OCC.OS(=O)(=O)[O-:10]>>CCOC(=O)CC#N.OS(=O)(=O)O 10=20;20,21=21",Lone to sigma*,,,,,
"CC[OH+:21][C:20](CC#N)(NC)[OH:10]>>CCO.CNC(=[OH+])CC#N 10=20;20,21=21",Lone to sigma*,,,,,
"CC[NH2:10].CC(=O)OC(=O)CC[C:20](=[O:21])Cl>>CC[NH2+]C(CCC(=O)OC(=O)C)([O-])Cl 10=20;20,21=21",Lone to pi*,,,,,
"[H:20][O:21]S(=O)(=O)O.CCNC(CCC(=O)OC(=O)C)([O-:10])Cl>>CCNC(CCC(=O)OC(=O)C)(O)Cl.OS(=O)(=O)[O-] 10=20;20,21=21",Lone to sigma*,,,,,
"CCN[C:20](CCC(=O)OC(=O)C)([OH:10])[Cl:21]>>CCNC(=[OH+])CCC(=O)OC(=O)C.[Cl-] 10=20;20,21=21",Lone to sigma*,,,,,
"[H:20][O+:21]=C(CCC(=O)OC(=O)C)NCC.OS(=O)(=O)[O-:10]>>CCNC(=O)CCC(=O)OC(=O)C.OS(=O)(=O)O 10=20;20,21=21",Lone to sigma*,,,,,
"CC[NH2:10].C[C:20](=[O:21])OC(=O)CCC=O>>CC[NH2+]C(C)([O-])OC(=O)CCC=O 10=20;20,21=21",Lone to pi*,,,,,
"CC[NH2:10].CC(=O)O[C:20](=[O:21])CCC=O>>CC[NH2+]C(CCC=O)([O-])OC(=O)C 10=20;20,21=21",Lone to pi*,,,,,
"[H:20][O:21]S(=O)(=O)O.CCNC(C)([O-:10])OC(=O)CCC=O>>CCNC(C)(O)OC(=O)CCC=O.OS(=O)(=O)[O-] 10=20;20,21=21",Lone to sigma*,,,,,
"CCN[C:20](C)([OH:10])[O:21]C(=O)CCC=O>>CCNC(=[OH+])C.C(CC(=O)[O-])C=O 10=20;20,21=21",Lone to sigma*,,,,,
